k,MarketCorrelation,AbsoluteCorrelation
3,0.008980186209548083,0.008980186209548083
4,-0.023732684476097613,0.023732684476097613
5,0.05317500725446066,0.05317500725446066
6,0.049691794812033285,0.049691794812033285
7,0.11947824887314608,0.11947824887314608
8,0.06103102267118142,0.06103102267118142
9,0.08363701470030668,0.08363701470030668
