date,total_events,mean_tone,total_mentions
2013-04-01,27758.0,72.26014122054903,7920.2
2013-04-02,35363.0,71.07193959788479,14767.5
2013-04-03,41602.0,71.27491466756406,17777.9
2013-04-04,39650.0,71.12867591424968,16803.7
2013-04-05,37680.0,70.37386203784803,17980.399999999998
2013-04-06,22691.0,71.33215812436649,6718.0
2013-04-07,26598.0,70.99112715241748,9028.0
2013-04-08,38770.0,68.03946350270827,23570.5
2013-04-09,41762.0,68.8156458024041,18288.1
2013-04-10,42592.0,67.89021412471826,26201.4
2013-04-11,41340.0,68.65827285921625,21715.7
2013-04-12,36302.0,69.75902154151287,15918.0
2013-04-13,23698.0,69.69039581399274,13510.5
2013-04-14,21884.0,69.14965271431183,11356.699999999999
2013-04-15,36456.0,69.7151086240948,18184.1
2013-04-16,31857.0,69.85946573751451,12550.9
2013-04-17,34975.0,68.56394567548249,19316.1
2013-04-18,35320.0,68.51769535673839,20779.8
2013-04-19,29175.0,69.0950471293916,17248.5
2013-04-20,18505.0,69.84820318832747,10530.699999999999
2013-04-21,21520.0,70.83094795539033,9273.1
2013-04-22,35132.0,68.17704656723215,22883.6
2013-04-23,40066.0,70.9574452153946,17322.1
2013-04-24,35465.0,68.37806287889468,17833.4
2013-04-25,40460.0,69.72770637666831,19096.1
2013-04-26,34853.0,69.93710727914383,16217.4
2013-04-27,22709.0,72.85635651063455,4969.2
2013-04-28,21303.0,71.32877998403981,6739.7
2013-04-29,36968.0,68.91084180913222,20395.0
2013-04-30,38248.0,71.99458795231124,10740.5
2013-05-01,32189.0,71.23243031667495,7671.799999999999
2013-05-02,38156.0,71.61814655624279,15470.699999999999
2013-05-03,34805.0,72.370119235742,7357.599999999999
2013-05-04,22004.0,75.06657880385384,-611.5000000000002
2013-05-05,24315.0,76.45572691754062,-6215.1
2013-05-06,38083.0,72.28640075624294,6638.7
2013-05-07,43298.0,70.66633562751166,19161.3
2013-05-08,42193.0,69.46119024482734,23112.5
2013-05-09,38960.0,70.21429671457905,15507.199999999999
2013-05-10,35661.0,69.9527775440958,17979.1
2013-05-11,21045.0,73.83178902352103,3011.1
2013-05-12,22843.0,72.09293875585519,7512.3
2013-05-13,36199.0,69.76361225448217,19297.4
2013-05-14,38450.0,67.43555266579973,28811.2
2013-05-15,40594.0,70.60045819579248,17467.8
2013-05-16,37924.0,70.39518510705622,16259.8
2013-05-17,34691.0,69.57522123893806,18148.2
2013-05-18,21039.0,74.18052188792242,26.299999999999752
2013-05-19,23634.0,72.17851400524668,4766.4
2013-05-20,37600.0,71.57117021276596,12249.5
2013-05-21,41019.0,70.34652234330433,20872.4
2013-05-22,43653.0,68.31713742469017,28068.1
2013-05-23,39707.0,70.11519379454504,17257.899999999998
2013-05-24,35477.0,69.76105645911436,17278.5
2013-05-25,22334.0,73.90951016387571,1412.3999999999999
2013-05-26,24227.0,73.69868328724151,3971.4999999999995
2013-05-27,32903.0,70.74303255022339,12025.6
2013-05-28,37986.0,70.36824093086926,16934.8
2013-05-29,40634.0,71.32785352168135,13104.199999999999
2013-05-30,42487.0,71.34621007747569,20108.600000000002
2013-05-31,40410.0,70.59116555308093,17335.3
2013-06-01,23314.0,74.61272196963198,362.0999999999997
2013-06-02,22752.0,75.08601441631505,-895.9000000000002
2013-06-03,38890.0,74.81151967086655,2762.4999999999995
2013-06-04,41569.0,70.99085857249392,13488.9
2013-06-05,42297.0,70.53788684776698,16659.5
2013-06-06,38538.0,70.70475893922881,14368.8
2013-06-07,36215.0,69.05831837636339,18575.7
2013-06-08,23119.0,71.87218305290021,5062.5
2013-06-09,24349.0,72.76270072692924,2327.4999999999995
2013-06-10,35636.0,69.92156807722527,14253.4
2013-06-11,42119.0,70.16586338706996,17059.5
2013-06-12,43883.0,69.63393569263724,18694.7
2013-06-13,121053.0,68.78504456725567,74679.0
2013-06-14,109701.0,67.61234628672483,78217.4
2013-06-15,76804.0,70.85744232071247,33923.0
2013-06-16,77132.0,69.61180832857958,43418.2
2013-06-17,120282.0,66.76202590578806,99694.8
2013-06-18,108691.0,65.9986124251419,92993.2
2013-06-19,106132.0,66.75891342856066,88762.7
2013-06-20,110374.0,66.6557160200772,101396.3
2013-06-21,114975.0,68.30187432050445,85236.9
2013-06-22,68763.0,67.1986533455492,51608.1
2013-06-23,84559.0,67.72205205832614,54056.4
2013-06-24,98687.0,66.76841934601315,78487.0
2013-06-25,95029.0,67.39181723473887,68055.3
2013-06-26,84632.0,67.44727762548445,63042.2
2013-06-27,131426.0,66.69846149163789,114424.3
2013-06-28,118044.0,67.39094415500958,80360.6
2013-06-29,76845.0,68.04254017828096,48833.299999999996
2013-06-30,87604.0,68.86668416967262,50398.4
2013-07-01,84091.0,67.11966797873733,64010.299999999996
2013-07-02,140894.0,67.36027084190953,94360.9
2013-07-03,135361.0,68.03386499804228,85538.09999999999
2013-07-04,114038.0,67.59329346358231,81075.9
2013-07-05,110045.0,69.77533736198828,56468.799999999996
2013-07-06,72500.0,70.63147586206897,32987.0
2013-07-07,76545.0,70.73526683650141,29966.3
2013-07-08,124064.0,69.59526532608325,71534.3
2013-07-09,130545.0,69.18270328239305,81094.1
2013-07-10,127518.0,69.08921877695698,77632.5
2013-07-11,124059.0,69.63818828138224,68634.4
2013-07-12,122971.0,68.86848931861984,74097.4
2013-07-13,75375.0,71.93692868988391,21865.5
2013-07-14,77034.0,72.3812212789158,20197.1
2013-07-15,125250.0,71.60315369261477,53845.799999999996
2013-07-16,135370.0,72.72654101585316,46603.1
2013-07-17,146249.0,69.79150626670952,81228.8
