Date,Rolling_eigenportfolio
2013-08-09,0.0008276806454715688
2013-08-12,0.0004728374855529764
2013-08-13,0.00037377548224084553
2013-08-14,-0.0004990508650724344
2013-08-15,0.0006338437022693797
2013-08-16,0.0008005395906815414
2013-08-19,-0.00025364371006840025
2013-08-20,3.8933456138125204e-05
2013-08-21,0.0003779616065082467
2013-08-22,-0.0001346920468612667
2013-08-23,0.0004537263442549677
2013-08-26,0.0001607536762741772
2013-08-27,-0.0004304342387752939
2013-08-28,0.00021305065735846495
2013-08-29,-0.0002773236589802822
2013-08-30,0.00023296946503088698
2013-09-03,-7.75184209470615e-06
2013-09-04,-0.00012297109498156595
2013-09-05,-2.292788365585571e-05
2013-09-06,0.0004922952544447011
2013-09-09,2.5044972261449857e-05
2013-09-10,0.0004600338662263539
2013-09-11,-0.00021652665766270222
2013-09-12,0.0009148095298144694
2013-09-13,0.0003610243804980471
2013-09-16,-0.0007506208032962343
2013-09-17,-0.00039196436485536073
2013-09-18,-0.00023277319450106014
2013-09-19,-0.0003565953148256303
2013-09-20,0.00035385426869875706
2013-09-23,0.0003809426317675477
2013-09-24,0.0001697947395805017
2013-09-25,-0.0001037043801563611
2013-09-26,-0.0005666332347428293
2013-09-27,-0.0006618163939140913
2013-09-30,0.0007080270432050967
2013-10-01,0.00035960751436775576
2013-10-02,-0.00022759490911643132
2013-10-03,0.000574431198067529
2013-10-04,-0.0002765683354321663
2013-10-07,-0.00025419461624406805
2013-10-08,0.00043023690684222644
2013-10-09,-0.0006498471820228158
2013-10-10,-0.0005951733627770485
2013-10-11,0.0010459579392034118
2013-10-14,4.079591418137691e-05
2013-10-15,0.0008521822857836589
2013-10-16,0.0006417770085689875
2013-10-17,-0.0006825524337114929
2013-10-18,0.00248892256485116
2013-10-21,0.0006369204237853531
2013-10-22,0.001017196979674188
2013-10-23,0.0003015012209533004
2013-10-24,-0.0012791874362432702
2013-10-25,-0.00019782510676846153
2013-10-28,3.9262638987417304e-05
2013-10-29,-0.0002787912470126176
2013-10-30,-0.00040150435310425326
2013-10-31,-0.0004596666416763883
2013-11-01,-0.00026396560479891967
2013-11-04,-0.0009308526960499148
2013-11-05,0.0007452536040948997
2013-11-06,-0.0004285535810160769
2013-11-07,0.001131394390226113
2013-11-08,-0.0004557604927105889
2013-11-11,0.00014490757202546424
2013-11-12,0.0002945121325239902
2013-11-13,-0.0007285387608262373
2013-11-14,0.00044998673846324583
2013-11-15,-0.0006061484169774265
2013-11-18,0.00024208014923254775
2013-11-19,-0.00022630113533243605
2013-11-20,-0.00018368698946315525
2013-11-21,0.0002515212569481856
2013-11-22,0.00012884691691535395
2013-11-25,0.0002515598978240011
2013-11-26,0.00034145105933964734
2013-11-27,0.00041988434169770554
2013-11-29,-4.035282846292607e-05
2013-12-02,0.0004481653157060249
2013-12-03,0.0004936332769228929
2013-12-04,-0.00026177809481768723
2013-12-05,0.00041956156679837824
2013-12-06,-1.3257136844143102e-05
2013-12-09,7.669551094534206e-05
2013-12-10,0.00015368907537573255
2013-12-11,0.00039464111689369025
2013-12-12,0.001006674949316083
2013-12-13,0.0002480874118959958
2013-12-16,-1.365196875408507e-05
2013-12-17,-6.14575335841479e-05
2013-12-18,0.0001895086963264061
2013-12-19,-0.000746263401691032
2013-12-20,0.0003847031764728188
2013-12-23,-0.000281098681379885
2013-12-24,-0.0001794358807819518
2013-12-26,-0.00042415904297044926
2013-12-27,3.848415669724927e-05
2013-12-30,0.00042742991221557733
2013-12-31,0.00098046404809265
2014-01-02,7.996766064200009e-05
2014-01-03,0.0004635433087922036
2014-01-06,0.0015647891499702346
2014-01-07,-4.8663882254865964e-05
2014-01-08,0.0006622492761505867
2014-01-09,0.00044403617030966636
2014-01-10,-0.0005822288009390669
2014-01-13,-0.00033448918715048005
2014-01-14,0.0012573513399372726
2014-01-15,-3.9219979192687e-05
2014-01-16,-3.38372162257851e-05
2014-01-17,9.367279484760239e-06
2014-01-21,-0.0010520736468156854
2014-01-22,0.0006616054268164071
2014-01-23,-0.0008908878961199661
2014-01-24,-0.0005227937967936836
2014-01-27,-0.0001324733220458087
2014-01-28,2.2729012039398675e-05
2014-01-29,-0.0007982403158148507
2014-01-30,0.000328334351464436
2014-01-31,-0.0006070723373364771
2014-02-03,-0.0007996824953865971
2014-02-04,0.00016159291059580157
2014-02-05,0.0005605835031394825
2014-02-06,-0.0002378317769582337
2014-02-07,-0.0002708348094451076
2014-02-10,0.00029917571990788
2014-02-11,-0.0006360169559897342
2014-02-12,-8.069116994216797e-05
2014-02-13,0.0004466582454088867
2014-02-14,-0.001201124766460385
2014-02-18,-2.358279392768618e-05
2014-02-19,-0.0007062624320083859
2014-02-20,0.0008652084688509283
2014-02-21,0.00026039657081064705
2014-02-24,0.0006696804664475757
2014-02-25,0.0003554429944491042
2014-02-26,0.0008317298978531186
2014-02-27,-0.0010777522480402374
2014-02-28,0.0011235468249526663
2014-03-03,-0.0002773274370567433
2014-03-04,0.00041027708456245585
2014-03-05,-0.00016746153373615796
2014-03-06,0.0005762546875718525
2014-03-07,0.00019350237752023262
2014-03-10,-0.0005208393260432919
2014-03-11,-5.382815282743155e-05
2014-03-12,0.0006542938243644421
2014-03-13,-0.0006642869453702272
2014-03-14,-0.00032284359857031084
2014-03-17,1.934547153333527e-05
2014-03-18,1.1249370526423203e-05
2014-03-19,-0.000544161140348888
2014-03-20,0.0017993284730987234
2014-03-21,-0.00010671014366737967
2014-03-24,0.00015298347877839078
2014-03-25,-0.00038383669090509147
2014-03-26,-0.00045935576703114834
